id,acorn,acorn-grouped,aff
2,ACORN-A,Affluent,1
6,ACORN-Q,Adversity,0
10,ACORN-H,Comfortable,0
18,ACORN-E,Affluent,1
19,ACORN-K,Adversity,0
27,ACORN-J,Comfortable,0
40,ACORN-A,Affluent,1
49,ACORN-E,Affluent,1
57,ACORN-E,Affluent,1
60,ACORN-F,Comfortable,0
91,ACORN-H,Comfortable,0
99,ACORN-U,ACORN-U,0
100,ACORN-N,Adversity,0
102,ACORN-Q,Adversity,0
111,ACORN-M,Adversity,0
116,ACORN-E,Affluent,1
117,ACORN-L,Adversity,0
123,ACORN-K,Adversity,0
131,ACORN-E,Affluent,1
140,ACORN-C,Affluent,1
145,ACORN-F,Comfortable,0
152,ACORN-E,Affluent,1
162,ACORN-Q,Adversity,0
168,ACORN-E,Affluent,1
179,ACORN-E,Affluent,1
180,ACORN-F,Comfortable,0
181,ACORN-E,Affluent,1
228,ACORN-E,Affluent,1
248,ACORN-F,Comfortable,0
255,ACORN-K,Adversity,0
260,ACORN-G,Comfortable,0
267,ACORN-K,Adversity,0
270,ACORN-E,Affluent,1
277,ACORN-F,Comfortable,0
280,ACORN-E,Affluent,1
281,ACORN-K,Adversity,0
295,ACORN-E,Affluent,1
301,ACORN-E,Affluent,1
306,ACORN-E,Affluent,1
307,ACORN-E,Affluent,1
312,ACORN-E,Affluent,1
313,ACORN-Q,Adversity,0
314,ACORN-F,Comfortable,0
317,ACORN-D,Affluent,1
320,ACORN-E,Affluent,1
322,ACORN-D,Affluent,1
323,ACORN-A,Affluent,1
330,ACORN-E,Affluent,1
331,ACORN-E,Affluent,1
349,ACORN-E,Affluent,1
350,ACORN-P,Adversity,0
355,ACORN-E,Affluent,1
357,ACORN-E,Affluent,1
359,ACORN-E,Affluent,1
363,ACORN-O,Adversity,0
367,ACORN-E,Affluent,1
373,ACORN-L,Adversity,0
376,ACORN-E,Affluent,1
381,ACORN-H,Comfortable,0
390,ACORN-L,Adversity,0
396,ACORN-E,Affluent,1
397,ACORN-F,Comfortable,0
415,ACORN-E,Affluent,1
443,ACORN-E,Affluent,1
455,ACORN-D,Affluent,1
462,ACORN-D,Affluent,1
496,ACORN-E,Affluent,1
498,ACORN-H,Comfortable,0
502,ACORN-F,Comfortable,0
506,ACORN-E,Affluent,1
507,ACORN-Q,Adversity,0
510,ACORN-Q,Adversity,0
539,ACORN-F,Comfortable,0
542,ACORN-Q,Adversity,0
547,ACORN-H,Comfortable,0
566,ACORN-K,Adversity,0
568,ACORN-L,Adversity,0
572,ACORN-D,Affluent,1
573,ACORN-L,Adversity,0
578,ACORN-H,Comfortable,0
580,ACORN-Q,Adversity,0
604,ACORN-O,Adversity,0
612,ACORN-E,Affluent,1
614,ACORN-H,Comfortable,0
615,ACORN-Q,Adversity,0
618,ACORN-E,Affluent,1
621,ACORN-K,Adversity,0
623,ACORN-K,Adversity,0
632,ACORN-D,Affluent,1
634,ACORN-F,Comfortable,0
638,ACORN-H,Comfortable,0
644,ACORN-L,Adversity,0
649,ACORN-P,Adversity,0
652,ACORN-E,Affluent,1
654,ACORN-E,Affluent,1
663,ACORN-E,Affluent,1
670,ACORN-L,Adversity,0
676,ACORN-F,Comfortable,0
682,ACORN-H,Comfortable,0
685,ACORN-H,Comfortable,0
686,ACORN-E,Affluent,1
689,ACORN-C,Affluent,1
692,ACORN-D,Affluent,1
714,ACORN-Q,Adversity,0
715,ACORN-D,Affluent,1
723,ACORN-H,Comfortable,0
727,ACORN-D,Affluent,1
731,ACORN-L,Adversity,0
732,ACORN-E,Affluent,1
737,ACORN-D,Affluent,1
742,ACORN-E,Affluent,1
746,ACORN-Q,Adversity,0
749,ACORN-E,Affluent,1
750,ACORN-L,Adversity,0
756,ACORN-E,Affluent,1
769,ACORN-F,Comfortable,0
773,ACORN-H,Comfortable,0
784,ACORN-H,Comfortable,0
809,ACORN-H,Comfortable,0
827,ACORN-K,Adversity,0
842,ACORN-K,Adversity,0
852,ACORN-K,Adversity,0
855,ACORN-E,Affluent,1
867,ACORN-K,Adversity,0
872,ACORN-K,Adversity,0
876,ACORN-J,Comfortable,0
888,ACORN-D,Affluent,1
891,ACORN-Q,Adversity,0
899,ACORN-H,Comfortable,0
903,ACORN-E,Affluent,1
904,ACORN-F,Comfortable,0
909,ACORN-I,Comfortable,0
919,ACORN-P,Adversity,0
952,ACORN-Q,Adversity,0
955,ACORN-H,Comfortable,0
956,ACORN-E,Affluent,1
958,ACORN-E,Affluent,1
966,ACORN-H,Comfortable,0
968,ACORN-E,Affluent,1
995,ACORN-H,Comfortable,0
1000,ACORN-D,Affluent,1
1003,ACORN-Q,Adversity,0
1008,ACORN-Q,Adversity,0
1021,ACORN-F,Comfortable,0
1029,ACORN-E,Affluent,1
1032,ACORN-E,Affluent,1
1060,ACORN-E,Affluent,1
1072,ACORN-P,Adversity,0
1081,ACORN-E,Affluent,1
1085,ACORN-K,Adversity,0
1088,ACORN-H,Comfortable,0
1094,ACORN-Q,Adversity,0
1095,ACORN-M,Adversity,0
1112,ACORN-L,Adversity,0
1114,ACORN-L,Adversity,0
1128,ACORN-Q,Adversity,0
1130,ACORN-E,Affluent,1
1135,ACORN-D,Affluent,1
1140,ACORN-C,Affluent,1
1151,ACORN-H,Comfortable,0
1164,ACORN-E,Affluent,1
1168,ACORN-Q,Adversity,0
1170,ACORN-F,Comfortable,0
1176,ACORN-Q,Adversity,0
1178,ACORN-K,Adversity,0
1183,ACORN-L,Adversity,0
1184,ACORN-E,Affluent,1
1210,ACORN-F,Comfortable,0
1212,ACORN-N,Adversity,0
1214,ACORN-F,Comfortable,0
1221,ACORN-D,Affluent,1
1227,ACORN-G,Comfortable,0
1233,ACORN-H,Comfortable,0
1236,ACORN-E,Affluent,1
1241,ACORN-E,Affluent,1
1244,ACORN-N,Adversity,0
1250,ACORN-J,Comfortable,0
1253,ACORN-G,Comfortable,0
1261,ACORN-H,Comfortable,0
1265,ACORN-F,Comfortable,0
1266,ACORN-Q,Adversity,0
1283,ACORN-E,Affluent,1
1294,ACORN-E,Affluent,1
1302,ACORN-H,Comfortable,0
1309,ACORN-K,Adversity,0
1312,ACORN-F,Comfortable,0
1325,ACORN-E,Affluent,1
1328,ACORN-E,Affluent,1
1340,ACORN-N,Adversity,0
1346,ACORN-Q,Adversity,0
1367,ACORN-E,Affluent,1
1382,ACORN-F,Comfortable,0
1396,ACORN-G,Comfortable,0
1406,ACORN-Q,Adversity,0
1408,ACORN-H,Comfortable,0
1412,ACORN-E,Affluent,1
1415,ACORN-K,Adversity,0
1424,ACORN-E,Affluent,1
1436,ACORN-E,Affluent,1
1445,ACORN-E,Affluent,1
1450,ACORN-F,Comfortable,0
1455,ACORN-Q,Adversity,0
1459,ACORN-Q,Adversity,0
1468,ACORN-O,Adversity,0
1473,ACORN-G,Comfortable,0
1484,ACORN-N,Adversity,0
1485,ACORN-N,Adversity,0
1488,ACORN-C,Affluent,1
1494,ACORN-H,Comfortable,0
1502,ACORN-D,Affluent,1
1506,ACORN-E,Affluent,1
1510,ACORN-A,Affluent,1
1519,ACORN-E,Affluent,1
1521,ACORN-E,Affluent,1
1525,ACORN-H,Comfortable,0
1526,ACORN-E,Affluent,1
1528,ACORN-A,Affluent,1
1541,ACORN-E,Affluent,1
1546,ACORN-Q,Adversity,0
1550,ACORN-M,Adversity,0
1558,ACORN-Q,Adversity,0
1562,ACORN-E,Affluent,1
1571,ACORN-E,Affluent,1
1574,ACORN-Q,Adversity,0
1578,ACORN-K,Adversity,0
1581,ACORN-K,Adversity,0
1583,ACORN-Q,Adversity,0
1591,ACORN-H,Comfortable,0
1592,ACORN-G,Comfortable,0
1605,ACORN-J,Comfortable,0
1609,ACORN-E,Affluent,1
1618,ACORN-H,Comfortable,0
1620,ACORN-Q,Adversity,0
1625,ACORN-F,Comfortable,0
1638,ACORN-D,Affluent,1
1646,ACORN-F,Comfortable,0
1647,ACORN-E,Affluent,1
1656,ACORN-D,Affluent,1
1662,ACORN-E,Affluent,1
1665,ACORN-E,Affluent,1
1672,ACORN-Q,Adversity,0
1673,ACORN-Q,Adversity,0
1675,ACORN-N,Adversity,0
1679,ACORN-H,Comfortable,0
1684,ACORN-Q,Adversity,0
1690,ACORN-G,Comfortable,0
1698,ACORN-D,Affluent,1
1703,ACORN-Q,Adversity,0
1710,ACORN-A,Affluent,1
1714,ACORN-Q,Adversity,0
1739,ACORN-G,Comfortable,0
1742,ACORN-L,Adversity,0
1745,ACORN-E,Affluent,1
1746,ACORN-K,Adversity,0
1751,ACORN-Q,Adversity,0
1758,ACORN-F,Comfortable,0
1779,ACORN-Q,Adversity,0
1789,ACORN-F,Comfortable,0
1794,ACORN-E,Affluent,1
1797,ACORN-L,Adversity,0
1805,ACORN-F,Comfortable,0
1809,ACORN-F,Comfortable,0
1816,ACORN-N,Adversity,0
1819,ACORN-A,Affluent,1
1834,ACORN-O,Adversity,0
1845,ACORN-L,Adversity,0
1869,ACORN-D,Affluent,1
1871,ACORN-Q,Adversity,0
1872,ACORN-L,Adversity,0
1874,ACORN-M,Adversity,0
1878,ACORN-Q,Adversity,0
1884,ACORN-E,Affluent,1
1888,ACORN-K,Adversity,0
1909,ACORN-L,Adversity,0
1913,ACORN-F,Comfortable,0
1914,ACORN-E,Affluent,1
1917,ACORN-Q,Adversity,0
1918,ACORN-E,Affluent,1
1927,ACORN-K,Adversity,0
1929,ACORN-K,Adversity,0
1935,ACORN-G,Comfortable,0
1940,ACORN-G,Comfortable,0
1943,ACORN-E,Affluent,1
1944,ACORN-F,Comfortable,0
1945,ACORN-L,Adversity,0
1965,ACORN-F,Comfortable,0
1966,ACORN-B,Affluent,1
1971,ACORN-F,Comfortable,0
1972,ACORN-E,Affluent,1
1983,ACORN-Q,Adversity,0
1991,ACORN-H,Comfortable,0
2001,ACORN-Q,Adversity,0
2007,ACORN-E,Affluent,1
2009,ACORN-Q,Adversity,0
2027,ACORN-E,Affluent,1
2033,ACORN-Q,Adversity,0
2038,ACORN-L,Adversity,0
2041,ACORN-L,Adversity,0
2042,ACORN-E,Affluent,1
2043,ACORN-P,Adversity,0
2066,ACORN-E,Affluent,1
2077,ACORN-Q,Adversity,0
2085,ACORN-K,Adversity,0
2086,ACORN-F,Comfortable,0
2100,ACORN-E,Affluent,1
2129,ACORN-Q,Adversity,0
2138,ACORN-D,Affluent,1
2168,ACORN-Q,Adversity,0
2170,ACORN-D,Affluent,1
2172,ACORN-E,Affluent,1
2179,ACORN-E,Affluent,1
2190,ACORN-D,Affluent,1
2192,ACORN-L,Adversity,0
2204,ACORN-E,Affluent,1
2208,ACORN-O,Adversity,0
2212,ACORN-L,Adversity,0
2231,ACORN-F,Comfortable,0
2233,ACORN-D,Affluent,1
2241,ACORN-E,Affluent,1
2259,ACORN-E,Affluent,1
2261,ACORN-F,Comfortable,0
2269,ACORN-O,Adversity,0
2272,ACORN-M,Adversity,0
2296,ACORN-C,Affluent,1
2299,ACORN-O,Adversity,0
2301,ACORN-F,Comfortable,0
2302,ACORN-E,Affluent,1
2320,ACORN-F,Comfortable,0
2321,ACORN-E,Affluent,1
2333,ACORN-E,Affluent,1
2348,ACORN-F,Comfortable,0
2353,ACORN-Q,Adversity,0
2356,ACORN-P,Adversity,0
2358,ACORN-D,Affluent,1
2364,ACORN-Q,Adversity,0
2365,ACORN-Q,Adversity,0
2366,ACORN-P,Adversity,0
2369,ACORN-N,Adversity,0
2388,ACORN-H,Comfortable,0
2391,ACORN-Q,Adversity,0
2396,ACORN-M,Adversity,0
2400,ACORN-Q,Adversity,0
2411,ACORN-H,Comfortable,0
2417,ACORN-F,Comfortable,0
2422,ACORN-F,Comfortable,0
2428,ACORN-D,Affluent,1
2429,ACORN-P,Adversity,0
2434,ACORN-E,Affluent,1
2458,ACORN-D,Affluent,1
2465,ACORN-F,Comfortable,0
2469,ACORN-E,Affluent,1
2478,ACORN-E,Affluent,1
2481,ACORN-C,Affluent,1
2487,ACORN-F,Comfortable,0
2492,ACORN-E,Affluent,1
2494,ACORN-E,Affluent,1
2506,ACORN-E,Affluent,1
2509,ACORN-E,Affluent,1
2517,ACORN-E,Affluent,1
2518,ACORN-E,Affluent,1
2525,ACORN-E,Affluent,1
2527,ACORN-Q,Adversity,0
2540,ACORN-I,Comfortable,0
2554,ACORN-F,Comfortable,0
2558,ACORN-E,Affluent,1
2563,ACORN-A,Affluent,1
2564,ACORN-E,Affluent,1
2569,ACORN-Q,Adversity,0
2576,ACORN-Q,Adversity,0
2581,ACORN-E,Affluent,1
2588,ACORN-E,Affluent,1
2592,ACORN-H,Comfortable,0
2600,ACORN-Q,Adversity,0
2603,ACORN-E,Affluent,1
2605,ACORN-E,Affluent,1
2608,ACORN-E,Affluent,1
2611,ACORN-E,Affluent,1
2616,ACORN-E,Affluent,1
2627,ACORN-D,Affluent,1
2632,ACORN-Q,Adversity,0
2657,ACORN-K,Adversity,0
2659,ACORN-Q,Adversity,0
2685,ACORN-Q,Adversity,0
2688,ACORN-H,Comfortable,0
2697,ACORN-E,Affluent,1
2698,ACORN-F,Comfortable,0
2699,ACORN-G,Comfortable,0
2714,ACORN-I,Comfortable,0
2718,ACORN-G,Comfortable,0
2720,ACORN-U,ACORN-U,0
2723,ACORN-Q,Adversity,0
2733,ACORN-F,Comfortable,0
2736,ACORN-Q,Adversity,0
2737,ACORN-E,Affluent,1
2745,ACORN-I,Comfortable,0
2751,ACORN-D,Affluent,1
2752,ACORN-E,Affluent,1
2753,ACORN-F,Comfortable,0
2756,ACORN-E,Affluent,1
2760,ACORN-M,Adversity,0
2763,ACORN-H,Comfortable,0
2771,ACORN-Q,Adversity,0
2776,ACORN-H,Comfortable,0
2777,ACORN-E,Affluent,1
2781,ACORN-Q,Adversity,0
2783,ACORN-F,Comfortable,0
2790,ACORN-E,Affluent,1
2799,ACORN-F,Comfortable,0
2806,ACORN-L,Adversity,0
2810,ACORN-E,Affluent,1
2816,ACORN-N,Adversity,0
2822,ACORN-H,Comfortable,0
2828,ACORN-H,Comfortable,0
2831,ACORN-E,Affluent,1
2853,ACORN-E,Affluent,1
2856,ACORN-Q,Adversity,0
2862,ACORN-C,Affluent,1
2863,ACORN-P,Adversity,0
2876,ACORN-E,Affluent,1
2893,ACORN-O,Adversity,0
2899,ACORN-Q,Adversity,0
2906,ACORN-Q,Adversity,0
2912,ACORN-H,Comfortable,0
2913,ACORN-M,Adversity,0
2934,ACORN-Q,Adversity,0
2940,ACORN-P,Adversity,0
2949,ACORN-E,Affluent,1
2962,ACORN-H,Comfortable,0
2966,ACORN-E,Affluent,1
2967,ACORN-Q,Adversity,0
2968,ACORN-E,Affluent,1
2969,ACORN-Q,Adversity,0
2974,ACORN-E,Affluent,1
2979,ACORN-P,Adversity,0
2988,ACORN-Q,Adversity,0
2991,ACORN-M,Adversity,0
2993,ACORN-Q,Adversity,0
2994,ACORN-F,Comfortable,0
2996,ACORN-K,Adversity,0
3000,ACORN-H,Comfortable,0
3002,ACORN-H,Comfortable,0
3003,ACORN-Q,Adversity,0
3004,ACORN-E,Affluent,1
